Date,GSCPI
31-Jan-1998,-1.085413427742077
28-Feb-1998,-0.43828187848811984
31-Mar-1998,-0.059929772198910575
30-Apr-1998,-0.1182314747640674
31-May-1998,-0.426763253020198
30-Jun-1998,-0.7413592026979103
31-Jul-1998,-0.9215220295476392
31-Aug-1998,-0.8972071680994623
30-Sep-1998,-0.9071880255907889
31-Oct-1998,-0.6814720776875016
30-Nov-1998,-0.8586157326650354
31-Dec-1998,-0.6145361674506759
31-Jan-1999,-0.2784062836677496
28-Feb-1999,0.00354709168114257
31-Mar-1999,-0.27059708665283866
30-Apr-1999,-0.21434062931792933
31-May-1999,-0.3498881389741723
30-Jun-1999,-0.3623386632087522
31-Jul-1999,-0.6115749779224333
31-Aug-1999,-0.44471963314916396
30-Sep-1999,-0.37992530716169837
31-Oct-1999,-0.11422052542926388
30-Nov-1999,-0.1602471715718592
31-Dec-1999,-0.20108933266405218
31-Jan-2000,-0.610258876332179
29-Feb-2000,-0.41216439196818483
31-Mar-2000,-0.276297756223685
30-Apr-2000,0.13148037310265223
31-May-2000,0.2837896347352403
30-Jun-2000,0.04677252377566687
31-Jul-2000,-0.010981767209413353
31-Aug-2000,0.09002809334012878
30-Sep-2000,0.04672415762663723
31-Oct-2000,-0.5167759773627982
30-Nov-2000,-0.7297970901088375
31-Dec-2000,-0.9127942151193822
31-Jan-2001,-0.9110728718875896
28-Feb-2001,-0.7678140511792545
31-Mar-2001,-0.5730255638300015
30-Apr-2001,-0.9852495025757743
31-May-2001,-1.1036999463480643
30-Jun-2001,-0.6833779414641946
31-Jul-2001,-0.8165206295276597
31-Aug-2001,-0.7703432431972768
30-Sep-2001,-0.6625857927262465
31-Oct-2001,-1.1990083399046803
30-Nov-2001,-1.419216053102057
31-Dec-2001,-1.1448917360799826
31-Jan-2002,-0.8956651256458255
28-Feb-2002,-0.4612107946783033
31-Mar-2002,-0.4211725239711005
30-Apr-2002,-0.5737516018419178
31-May-2002,-0.29969967759504035
30-Jun-2002,-0.6132739892005966
31-Jul-2002,-0.9386262938346834
31-Aug-2002,-1.070833016868844
30-Sep-2002,-1.1267853506124523
31-Oct-2002,-1.2256264107499757
30-Nov-2002,-0.7457294993560136
31-Dec-2002,-0.6790979090828572
31-Jan-2003,-0.6210814154071544
28-Feb-2003,-0.3001852834096194
31-Mar-2003,-0.31893492868466905
30-Apr-2003,-0.5481860397984468
31-May-2003,-0.19544045536202245
30-Jun-2003,-0.10805241901476369
31-Jul-2003,0.007603012441448752
31-Aug-2003,-0.059096111907681784
30-Sep-2003,0.06753235754492834
31-Oct-2003,-0.26261186004229237
30-Nov-2003,-0.40583272338065
31-Dec-2003,-0.35737775415898243
31-Jan-2004,-0.49180057615075756
29-Feb-2004,-0.370704949501637
31-Mar-2004,0.0025480468110190674
30-Apr-2004,0.41910756939161964
31-May-2004,0.37061849504355193
30-Jun-2004,0.4237770288960639
31-Jul-2004,-0.4428101100745414
31-Aug-2004,0.07991318410318834
30-Sep-2004,-0.009167917011588759
31-Oct-2004,-0.6063891967893601
30-Nov-2004,-0.05584389671725778
31-Dec-2004,0.10678194073446041
31-Jan-2005,-0.11518703052484444
28-Feb-2005,-0.12073899354952072
31-Mar-2005,-0.27068573764306014
30-Apr-2005,-1.3171607731264252
31-May-2005,-0.9843877049658747
30-Jun-2005,-0.9347460726669897
31-Jul-2005,-0.8818066872986811
31-Aug-2005,-0.49998975019533026
30-Sep-2005,0.08119823022893288
31-Oct-2005,-0.06961586108842922
30-Nov-2005,-0.6366239622778558
31-Dec-2005,-0.6962307615733238
31-Jan-2006,-0.36349490168536325
28-Feb-2006,-0.7244717191043616
31-Mar-2006,-0.38110265447280306
30-Apr-2006,0.10834921218701135
31-May-2006,0.10637080559407226
30-Jun-2006,0.16705539044671328
31-Jul-2006,-0.09211123478037192
31-Aug-2006,0.06793463744960494
30-Sep-2006,-0.6350591319674889
31-Oct-2006,-0.5143160599021184
30-Nov-2006,-0.22894360050423415
31-Dec-2006,-0.45769243096009005
31-Jan-2007,-0.8701845160828434
28-Feb-2007,-0.7126115232203546
31-Mar-2007,-0.5880854774278006
30-Apr-2007,-0.8258215691272365
31-May-2007,-0.4136146108673392
30-Jun-2007,-0.3696599337583065
31-Jul-2007,-0.43251443879346646
31-Aug-2007,-0.09665234752254491
30-Sep-2007,-0.03437335442227676
31-Oct-2007,-0.6051207154940388
30-Nov-2007,-0.4799146650260825
31-Dec-2007,-0.1434146234911733
31-Jan-2008,-0.369315501745289
29-Feb-2008,0.46753081963259385
31-Mar-2008,0.15837991321703312
30-Apr-2008,0.13345160256057106
31-May-2008,-0.1151205043881663
30-Jun-2008,0.2764200731394216
31-Jul-2008,1.0077549990398442
31-Aug-2008,0.28028654806626985
30-Sep-2008,-0.5374025014016541
31-Oct-2008,-0.9823135343182159
30-Nov-2008,-1.5317403754108139
31-Dec-2008,-0.7035271745574815
31-Jan-2009,-0.40318315579744857
28-Feb-2009,-0.4367829694363862
31-Mar-2009,0.1917659500667896
30-Apr-2009,0.8508198063903113
31-May-2009,0.3410718302606442
30-Jun-2009,-0.5002236222390984
31-Jul-2009,-0.7360128710105874
31-Aug-2009,-1.1239008574033675
30-Sep-2009,-0.4872019260519585
31-Oct-2009,-0.4523454673778899
30-Nov-2009,-0.789482952343215
31-Dec-2009,-0.6112878763520813
31-Jan-2010,-0.31962554364470736
28-Feb-2010,-0.15199594561043436
31-Mar-2010,0.36730512531885523
30-Apr-2010,0.2988442230202284
31-May-2010,0.4380481280985149
30-Jun-2010,-0.030035221222212704
